,state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
0,--,Hofstra University,,9/14/2020,9/22/2020,10/1/2020 20:28:00,2000,lv,Online,53.0,42.0,11.0,,,https://www.hofstra.edu/pdf/academics/colleges/hclas/gov-policy-international/kalikow-poll-0920.pdf,True,
1,GA,Landmark Communications,,9/30/2020,9/30/2020,10/1/2020 20:28:00,500,lv,Live Phone,47.0,45.0,2.0,3.0,,https://www.wsbtv.com/news/local/atlanta/following-rocky-debate-biden-takes-lead-over-trump-latest-exclusive-channel-2-poll/LFMKYZZ2C5DVFE3J7HKNK2653U/,True,
2,--,Change Research,CNBC,9/29/2020,9/30/2020,10/1/2020 14:03:00,925,lv,Online,54.0,41.0,13.0,,,https://www.cnbc.com/2020/10/01/biden-leads-polls-voters-say-he-beat-trump-in-first-debate.html,True,
3,NC,ALG Research,,9/22/2020,9/28/2020,10/1/2020 14:03:00,822,rv,Live Phone,50.0,47.0,3.0,,,https://04acb8ce-8717-494a-8b55-56f4a82a107c.usrfiles.com/ugd/04acb8_121df148ec7b4053b105c08f0221a51a.pdf,True,
4,SC,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,824,lv,Online,43.0,47.0,-4.0,2.0,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_SC_Senate_week2.pdf,True,
5,ME,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,718,lv,Online,53.0,39.0,14.0,,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_ME_Senate_Week2.pdf,True,
6,IA,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,743,lv,Online,44.0,47.0,-3.0,2.0,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_IA_Senate_week2.pdf,True,
7,AZ,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,808,lv,Online,49.0,45.0,4.0,1.0,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_AZ_Senate_week2.pdf,True,
8,PA,ALG Research,,8/26/2020,9/1/2020,10/1/2020 11:09:00,500,lv,Live Phone,50.0,44.0,6.0,,,https://www.progressivepolicy.org/wp-content/uploads/2020/09/ALG.PA_.OH_.energy-poll.09.30.20-.pdf,True,
9,OH,ALG Research,,8/26/2020,9/1/2020,10/1/2020 11:09:00,500,lv,Live Phone,48.0,46.0,2.0,,,https://www.progressivepolicy.org/wp-content/uploads/2020/09/ALG.PA_.OH_.energy-poll.09.30.20-.pdf,True,
10,OR,Civiqs,,9/26/2020,9/29/2020,9/30/2020 19:30:00,944,lv,Online,56.0,39.0,17.0,,,https://civiqs.com/documents/Civiqs_DailyKos_OR_banner_book_2020_09_7b4xvh.pdf,True,
11,--,Ipsos,Reuters,9/25/2020,9/29/2020,9/30/2020 18:30:00,864,lv,Online,51.0,42.0,9.0,,,https://www.ipsos.com/en-us/reutersipsos-core-political-survey-general-election-tracker-09302020,True,Wednesday release
12,IA,RABA Research,,9/23/2020,9/26/2020,9/30/2020 17:52:00,780,lv,Live Phone,48.0,46.0,2.0,,,https://who13.com/news/joe-biden-leads-president-trump-by-two-points-in-nexstar-iowa-2020-raba-research-poll/,True,
